what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351893295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351893841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351894469
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389351895956
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389351906239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1389351914238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389351914365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389351915557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351916619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351917198
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389351918034
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389351921000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351921082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351923124
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389351928151
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389351930090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389351930858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389351935985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351936670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351937172
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389351938098
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1389351940055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351940066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351940782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351941514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389351944080
activated,editor,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer.Pi4SOADesignerID",1389351945038
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1389351947808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389351947993
